"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01583",42.369417,-71.785036
"Massachusetts","MA","Northeast","01585",42.240796,-72.162645
"Massachusetts","MA","Northeast","01588",42.118794,-71.672494
"Massachusetts","MA","Northeast","01590",42.132051,-71.750318
"Massachusetts","MA","Northeast","01602",42.269189,-71.850728
"Massachusetts","MA","Northeast","01603",42.243826,-71.843569
"Massachusetts","MA","Northeast","01604",42.253254,-71.767957
"Massachusetts","MA","Northeast","01605",42.289683,-71.787793
"Massachusetts","MA","Northeast","01606",42.315249,-71.795741
"Massachusetts","MA","Northeast","01607",42.225974,-71.788894
"Massachusetts","MA","Northeast","01608",42.26198,-71.801462
"Massachusetts","MA","Northeast","01609",42.285114,-71.829987
"Massachusetts","MA","Northeast","01610",42.247049,-71.808366
"Massachusetts","MA","Northeast","01611",42.237604,-71.875838
"Massachusetts","MA","Northeast","01612",42.296798,-71.928991
"Massachusetts","MA","Northeast","01701",42.319587,-71.4428
"Massachusetts","MA","Northeast","01702",42.282379,-71.436621
"Massachusetts","MA","Northeast","01718",42.519816,-71.429283
"Massachusetts","MA","Northeast","01719",42.485985,-71.520985
"Massachusetts","MA","Northeast","01720",42.483953,-71.438495
"Massachusetts","MA","Northeast","01721",42.257755,-71.473526
"Massachusetts","MA","Northeast","01730",42.499295,-71.281889
"Massachusetts","MA","Northeast","01731",42.456748,-71.279484
"Massachusetts","MA","Northeast","01740",42.439941,-71.601879
"Massachusetts","MA","Northeast","01741",42.53662,-71.361832
"Massachusetts","MA","Northeast","01742",42.462911,-71.364496
"Massachusetts","MA","Northeast","01745",42.292114,-71.499197
"Massachusetts","MA","Northeast","01746",42.195951,-71.45343
"Massachusetts","MA","Northeast","01747",42.123007,-71.531404
"Massachusetts","MA","Northeast","01748",42.224096,-71.540489
"Massachusetts","MA","Northeast","01749",42.389071,-71.545864
"Massachusetts","MA","Northeast","01752",42.349617,-71.547214
"Massachusetts","MA","Northeast","01754",42.425955,-71.456256
