"name","gender","female_count","male_count","p_female","odds_female","log_ods_female"
"barbra","F",5625,0,1,Inf,Inf
"alyce","F",5624,0,1,Inf,Inf
"jasmyn","F",5613,0,1,Inf,Inf
"tena","F",5611,0,1,Inf,Inf
"kayleen","F",5606,0,1,Inf,Inf
"dottie","F",5603,0,1,Inf,Inf
"davina","F",5602,0,1,Inf,Inf
"juli","F",5597,0,1,Inf,Inf
"sharla","F",5592,0,1,Inf,Inf
"corinna","F",5584,0,1,Inf,Inf
"livia","F",5557,0,1,Inf,Inf
"teena","F",5553,0,1,Inf,Inf
"felisha","F",5551,0,1,Inf,Inf
"amirah","F",5545,0,1,Inf,Inf
"natalya","F",5543,0,1,Inf,Inf
"lolita","F",5539,0,1,Inf,Inf
"leola","F",5538,0,1,Inf,Inf
"breann","F",5535,0,1,Inf,Inf
"ashli","F",5517,0,1,Inf,Inf
"sharonda","F",5516,0,1,Inf,Inf
"emmy","F",5515,0,1,Inf,Inf
"amelie","F",5513,0,1,Inf,Inf
"evelynn","F",5484,0,1,Inf,Inf
"jessika","F",5474,0,1,Inf,Inf
"jazlynn","F",5466,0,1,Inf,Inf
"terese","F",5442,0,1,Inf,Inf
"alyse","F",5427,0,1,Inf,Inf
"darci","F",5425,0,1,Inf,Inf
"kaylah","F",5417,0,1,Inf,Inf
"mariann","F",5416,0,1,Inf,Inf
"teressa","F",5403,0,1,Inf,Inf
"maryjo","F",5398,0,1,Inf,Inf
"missy","F",5373,0,1,Inf,Inf
"rhianna","F",5371,0,1,Inf,Inf
"evangelina","F",5369,0,1,Inf,Inf
"aryana","F",5366,0,1,Inf,Inf
"jocelynn","F",5355,0,1,Inf,Inf
"nanci","F",5351,0,1,Inf,Inf
"sarahi","F",5346,0,1,Inf,Inf
"lucretia","F",5343,0,1,Inf,Inf
"frida","F",5339,0,1,Inf,Inf
"saniyah","F",5305,0,1,Inf,Inf
"abigale","F",5289,0,1,Inf,Inf
"katerina","F",5280,0,1,Inf,Inf
"calista","F",5272,0,1,Inf,Inf
"joleen","F",5265,0,1,Inf,Inf
"miya","F",5254,0,1,Inf,Inf
"tanesha","F",5244,0,1,Inf,Inf
"janeen","F",5225,0,1,Inf,Inf
